대여 대여소명,대여점위도,대여점경도,평일
뚝섬유원지역 1번출구 앞,37.53186,127.067192,6840
여의나루역 1번출구 앞,37.526989,126.932098,6241
봉림교 교통섬,37.48423,126.926392,5986
홍대입구역 2번출구 앞,37.557499,126.923805,5617
롯데월드타워(잠실역2번출구 쪽),37.513126,127.10096,5383
마곡나루역 5번출구 뒤편,37.565201,126.827316,4648
건대입구역 사거리(롯데백화점),37.539139,127.070618,4573
"고속터미널역 8-1번, 8-2번 출구 사이",37.506199,127.003944,4556
양천향교역 7번출구앞,37.56768,126.840897,4342
안암로터리 버스정류장 앞,37.582592,127.028976,4127
신도림역 1번 출구 앞,37.50972,126.890099,3959
동방1교,37.471828,126.933922,3925
마포구민체육센터 앞,37.55661,126.898018,3893
건국대학교 (입학정보관),37.540089,127.073746,3679
잠실새내역 5번 출구 뒤,37.511982,127.085052,3660
"발산역 1번, 9번 인근 대여소",37.55891,126.838097,3639
신대방역 2번 출구,37.487129,126.913017,3613
구로디지털단지역 앞,37.48494,126.901321,3587
가양역 8번출구,37.561035,126.854813,3561
당산역 10번출구 앞,37.533688,126.902107,3357
CJ 드림시티,37.599491,126.916862,3325
자양사거리 광진아크로텔 앞,37.53701,127.082245,3243
IFC몰,37.526066,126.925537,3228
잠실나루역 (2번 출구 쪽),37.520451,127.104202,3105
오목교역 7번출구 앞,37.524063,126.87558,3014
당산육갑문,37.535339,126.903679,3005
당곡사거리,37.48975,126.927467,2991
노들역 1번출구,37.512959,126.952072,2979
상계역(4번출구),37.66,127.072968,2951
송파역 2번 출구앞,37.499413,127.112869,2929
군자역 7번출구뒤,37.556862,127.07914,2896
커먼그라운드,37.54504,127.089958,2884
건국대학교 학생회관,37.541763,127.07843,2879
청계천 생태교실 앞,37.56797,127.04689,2869
영등포구청역 1번출구,37.524635,126.896217,2865
합정역 7번출구 앞,37.548645,126.912827,2859
석촌역 2번출구,37.505932,127.10775,2847
옥수역 3번출구,37.541363,127.017662,2833
잠실역 8번출구,37.513962,127.100304,2817
망원역 1번출구 앞,37.556,126.910454,2803
공릉역 1번 출구 앞,37.626614,127.072754,2772
영등포역지하쇼핑센타 5번출구,37.516651,126.90799,2767
둔촌역 3번 출입구,37.526695,127.135529,2754
천호역4번출구(현대백화점),37.538658,127.124214,2720
송파나루역 4번 출구옆,37.509979,127.112312,2695
마포구청 앞,37.565903,126.901184,2680
세종사이버대학교,37.553417,127.073196,2674
어린이대공원역 3번출구 앞,37.54707,127.074272,2666
신도림테크노근린공원,37.508194,126.891304,2646
올림픽공원역 3번출구,37.516258,127.130592,2642
